{#},Attore,Sistema
2b.1,Opzionalmente crea una variante di un passo inserendo 2 passi da inserire nella procedura e opzionalmente indicando se è preparabile in anticipo,Registra il nuovo raggruppamento di passi per la procedura
{ },\textit{Se desidera creare una variante di una ricetta torna al passo 1},
